Title,Description,Tags,Notes,Categories,Link
Fedstats,From the Federal Interagency Council on Statistical Policy. Provides access to Federal government statistics from more than 100 Federal agencies.,"demographics & statistics, economics, government",,DEMOGRAPHICS AND STATISTICS;ECONOMICS,http://www.fedstats.gov/
Financial Times Historical Archive (1882-2006),"An important interdisciplinary, global resource that provides important knowledge and understanding of global history, business, finance and politics over the last 120 years. The archive includes all articles, advertisements, photographs and market listings as shown in the context of the regular full page and issue of the day.",news,,,http://proxy-um.researchport.umd.edu/login?url=http://infotrac.galegroup.com/itweb/umd_um?db=FTHA
FindLaw Small Business Center,"Contains an extensive offering of featured articles about how to start up a small business including legal issues, business plans and funding.",small business,,,http://smallbusiness.findlaw.com/
Forbes Lists,Includes listings of popular business topics.,rankings,,,http://www.forbes.com/lists/
Fortune 500,Annual ranking of America's largest companies.,rankings,,,http://money.cnn.com/magazines/fortune/fortune500/index.html
Fortune's 100 Best Companies to Work For (R),Workplace rankings by Great Places to Work,rankings,,,http://www.greatplacetowork.com/best-companies/100-best-companies-to-work-for
Foundation Center,"Leading source of information about philanthropy worldwide. The Find Funders section links to funding and statistics data; the Gain Knowledgelinks to reports on global issues on different subjects, as well as trends.",country background,,COUNTRY RESEARCH,http://www.foundationcenter.org/
Franchise Direct,"A comprehensive franchise opportunity listing, providing views, news and advice to entrepreneurs and franchisors alike. Browse through their profiles or read about the latest featured franchises.",franchising,,,http://www.franchisedirect.com/
FRB Beige Book,"Provides an assessment of the economic performance of each of the 12 regional Federal Reserve districts. The report examines economic activity, specifically employment trends, construction and housing activity, retail sales, consumer confidence, and any other relevant information. Archival data is also available.",economic indicators,,ECONOMICS,http://www.federalreserve.gov/monetarypolicy/beigebook/default.htm
Freight World,Web links to all of the different transportation modes and services related to these modes.,transportation modes,,,http://www.freightworld.com/
Gallup Brain,"Searchable database of Gallup Poll questions and answers, with data from 1935-present.",polls,,,http://proxy-um.researchport.umd.edu/login?url=http://institution.gallup.com
Gartner Group,"The Gartner Group is a leading provider of market research reports, specializing in the information technology (IT) industries. Gartner provides statistics, forecasts and market analysis on all categories of Information Technology. It covers vendors, end-users, technology, markets and trends. NOTE: Use of the Gartner Group database is restricted to UMCP current faculty, staff and students and requires a secondary authentication.","industry overview, industry trends, technology",,INDUSTRY,http://proxy-um.researchport.umd.edu/login?url=https://researchport.umd.edu/shib/CP/Gartner/gartner.cgi
Global Development Finance,From the World Bank. Provides direct access to more than 200 debt and financial flows indicators for the 129 countries that report public and publicly-guaranteed debt to the World Bank Debtor Reporting System. These data begin in 1970.,"finance, international business, debt, country background",,COUNTRY RESEARCH;FINANCE AND INVESTMENT,http://proxy-um.researchport.umd.edu/login?url=http://databank.worldbank.org/ddp/home.do?Step=12&id=4&CNO=2
